epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1697476334525,2023-10-16T17:12:14.525000,0.0,0.051,0.972,-0.07
1697476334605,2023-10-16T17:12:14.605000,0.08,0.043,0.975,-0.07
1697476334685,2023-10-16T17:12:14.685000,0.16,0.047,0.97,-0.08
1697476334765,2023-10-16T17:12:14.765000,0.24,0.048,0.966,-0.066
1697476334845,2023-10-16T17:12:14.845000,0.32,0.048,0.978,-0.063
1697476334925,2023-10-16T17:12:14.925000,0.4,0.055,0.983,-0.062
1697476335005,2023-10-16T17:12:15.005000,0.48,0.051,0.973,-0.06
1697476335085,2023-10-16T17:12:15.085000,0.56,0.052,0.966,-0.063
1697476335165,2023-10-16T17:12:15.165000,0.64,0.047,0.974,-0.055
1697476335245,2023-10-16T17:12:15.245000,0.72,0.045,0.983,-0.051
1697476335325,2023-10-16T17:12:15.325000,0.8,0.043,0.983,-0.053
1697476335405,2023-10-16T17:12:15.405000,0.88,0.044,0.969,-0.053
1697476335485,2023-10-16T17:12:15.485000,0.96,0.045,0.968,-0.057
1697476335565,2023-10-16T17:12:15.565000,1.04,0.043,0.973,-0.053
1697476335645,2023-10-16T17:12:15.645000,1.12,0.043,0.98,-0.049
1697476335725,2023-10-16T17:12:15.725000,1.2,0.038,0.986,-0.049
1697476335805,2023-10-16T17:12:15.805000,1.28,0.034,0.978,-0.05
1697476335885,2023-10-16T17:12:15.885000,1.36,0.037,0.969,-0.054
1697476335965,2023-10-16T17:12:15.965000,1.44,0.036,0.97,-0.053
1697476336045,2023-10-16T17:12:16.045000,1.52,0.029,0.984,-0.049
1697476336125,2023-10-16T17:12:16.125000,1.6,0.03,0.988,-0.045
1697476336205,2023-10-16T17:12:16.205000,1.68,0.032,0.972,-0.051
1697476336285,2023-10-16T17:12:16.285000,1.76,0.031,0.962,-0.049
1697476336365,2023-10-16T17:12:16.365000,1.84,0.029,0.969,-0.048
1697476336445,2023-10-16T17:12:16.445000,1.92,0.025,0.994,-0.05
1697476336525,2023-10-16T17:12:16.525000,2.0,0.022,0.996,-0.045
